image_id,label
david-burliuk_villa-of-w-r-wagner-1962,5
salvador-dali_anthropomorphic-bread-1,8
edouard-cortes_boulevard-de-la-madeleine-10,5
eugene-delacroix_faust-goethe-s-tragedy-1828,6
esaias-van-de-velde_landscape-with-skaters-on-a-bridge-with-sheep,1
pablo-picasso_reclining-woman-1932-1,8
ivan-bilibin_princess-in-the-prison-tower-illustration-of-the-russian-fairy-tale-the-white-duck-1902,0
giovanni-battista-piranesi_harpocrates,4
salvador-dali_glow-of-laport,8
gustave-moreau_the-unicorne-1885,4
rembrandt_the-holy-family-with-a-cat-1654,7
nicholas-roerich_ruins-of-a-chinese-fort-1926,9
egon-schiele_boy-in-a-sailor-suit-1913,2
jacques-louis-david_unfinished-portrait-of-general-bonaparte-1798,4
victor-brauner_the-complete-woman-project-c-1936,0
jean-auguste-dominique-ingres_study-for-the-martyrdom-of-st-symphorien,3
martiros-saryan_fairy-tale-1907,1
marc-chagall_artist-at-easel,2
paul-cezanne_fruits,8
margareta-sterian_illustration-for-v-voiculescu-s-last-shakespearean-sonnets-1982-3,2
zinaida-serebriakova_in-the-dressing-room-1924,7
pyotr-konchalovsky_the-tops-of-the-birches-1934,5
nicholas-roerich_sanctuaries-and-citadels-1925-3,0
nicholas-roerich_himalayas-nearly-sandahpu-1936,9
jules-perahim_untitled-1987,0
mary-cassatt_mother-playing-with-her-child,3
giovanni-battista-piranesi_urn-of-marble-lucius-calvin,4
viktor-vasnetsov_ivan-tsarevich-and-the-swan,0
amedeo-modigliani_portrait-of-picasso-1915-1,2
nicholas-roerich_castle-1936,0
raphael-kirchner_favorite-2,0
martiros-saryan_arzni-1942-1,1
vincent-van-gogh_landscape-with-alphonse-daudet-s-windmill-1888,5
john-william-godward_a-melody,9
felicien-rops_the-girl-in-the-cantine-for-pilots,4
zdislav-beksinski_untitled-1988,4
maxime-maufra_study-of-mountains-1904,3
william-merritt-chase_portrait-of-mrs-chase,3
nicholas-roerich_alps-study-1923,9
william-james-glackens_back-of-nude,9
pablo-picasso_seated-woman-1920,4
claude-monet_the-small-arm-of-the-seine-at-mosseaux-evening,3
billy-childish_st-john-s-church-chatham-2004,2
ernst-ludwig-kirchner_three-nudes,2
wassily-kandinsky_moscow-zubovskaya-square-study-1916,5
lovis-corinth_self-portrait-with-a-glass-1907,3
giovanni-battista-piranesi_the-roman-antiquities-t-2-plate-xlv-fragments-of-the-burial-chamber-opposite-the-church-of-st,4
koloman-moser_hyacinths,9
giovanni-battista-piranesi_the-roman-antiquities-t-3-plate-xlv-cross-section-of-the-pyramid-of-caius-cestius,4
william-adolphe-bouguereau_the-younger-brother-1902,6
marc-chagall_feast-day-rabbi-with-lemon-1914,0
pyotr-konchalovsky_portrait-of-japanese-artist-yabe-shan-1927,2
julian-alden-weir_at-the-piano,6
zdislav-beksinski_untitled-289,0
richard-diebenkorn_woman-in-profile,6
claude-monet_landscape-at-port-villez-1,3
marevna-marie-vorobieff_the-atelier-of-diego-rivera-in-rue-du-d-part-diego-rivera-ehrenbourg-and-juan-gris-paris-in,2
ivan-bilibin_crimea-koktebel-1939-1,0
abraham-manievich_autumn,5
theo-van-doesburg_farmer-1910,6
francisco-goya_playing-at-giants-1792,4
joan-ponc_la-roca-1972,8
karl-schrag_self-portrait-1963,2
marc-chagall_illustration-for-review-troyer-courant-1922-5,9
marc-chagall_the-couple-a-holy-family-1909,2
giovanni-battista-piranesi_the-feast-in-the-house-of-simon-the-pharisee,4
vincent-van-gogh_three-hands-2,2
marcel-duchamp_play-1902,0
paul-gauguin_stream-in-osny-1883,5
salvador-dali_the-grand-opera,8
konstantinos-parthenis_still-life-with-bottles,0
benjamin-west_death-on-the-pale-horse-1796,1
paul-delvaux_the-girls-from-the-provinces-1962,4
fyodor-alekseyev_potemkin-street,7
maurice-utrillo_st-pierre-de-montmartre,6
claude-monet_the-seine-near-argenteuil,3
joan-miro_carota,8
peter-paul-rubens_landscape-with-cows-and-wildfowlers,1
pablo-picasso_faun-unveiling-a-sleeping-girl-jupiter-and-antiope-after-rembrandt-1936,7
jacek-yerka_steam-alarm-clock-with-a-polyphonic-whistle,4
pablo-picasso_seated-woman-olga-1920-1,4
lucian-freud_eli-and-david-2006,4
n-c-wyeth_african-warrior,2
sir-lawrence-alma-tadema_fhe-frigidarium-1890,7
mikhail-vrubel_sitter-in-the-renaissance-setting-1883,7
thomas-eakins_study-of-a-leg-1869,9
esaias-van-de-velde_ferry-boat-1622,1
giovanni-battista-piranesi_cell-on-the-inside-of-the-basilica-of-st-paul-outside-the-walls,4
pierre-auguste-renoir_algerian-girl-1881,3
rembrandt_minerva,1
raphael-kirchner_pierrot-s-love,0
jose-gutierrez-solana_the-blessed-1933,7
alfred-sisley_by-the-river-1881,3
odilon-redon_the-origins,9
peter-paul-rubens_st-george-with-martyrs-maurus-papianus-domitilla-nerus-and-achilleus,1
ford-madox-brown_chetham-s-life-dream,5
anthony-van-dyck_double-portrait-of-the-painter-frans-snyders-and-his-wife,1
gustave-loiseau_the-auxerre-cathedral-1907-1,5
walter-battiss_daddy-long-legs-1978,2
adolphe-joseph-thomas-monticelli_three-friends,6
giovanni-battista-piranesi_the-roman-antiquities-t-2-plate-xxviii-plan-and-elevation-cross-section-of-the-tomb-of-the-1756,4
boris-grigoriev_faces-of-russia-1923,2
rembrandt_head-and-bust-full-face-1630,1
peter-paul-rubens_sine-cerere-et-baccho-friget-venus,4
auguste-rodin_eve-fairfax-1905,4
nicholas-roerich_patrol-1905,0
giovanni-battista-piranesi_altar-dedicated-to-apollo-found-in-the-villa-of-pompey-the-great-in-albano,4
balthus_the-room,8
piroska-szanto_szentendre-1943,8
gustave-courbet_sleeping-nude,1
pierre-puvis-de-chavannes_the-keeper-of-goats,9
giovanni-battista-piranesi_orestes-and-electra,4
giovanni-battista-piranesi_view-in-perspective-of-a-candlestick,4
johannes-itten_bergsee-a-mountain-lake-1936,9
theodore-gericault_entrance-to-the-adelphi-wharf,7
christen-kobke_view-of-a-street-in-sterbro-outside-copenhagen-morning-light-1836,7
vincent-van-gogh_a-lane-of-cypresses-with-a-couple-walking-1888,5
giovanni-battista-piranesi_another-view-in-perspective-of-the-same-tripod,4
mikhail-vrubel_a-lady-in-lilac-portrait-of-nadezhda-zabela,3
claude-monet_park-monceau-3,3
moise-kisling_nude-woman-lying-on-the-grass,5
nicholas-roerich_himalayas-ridge-kanchendganga,9
odilon-redon_a-strange-juggler-1885,8
frits-thaulow_the-mill,3
federico-zandomeneghi_the-white-collar,3
odilon-redon_closed-eyes-1890,2
john-singleton-copley_gregory-towsend-1756,5
odilon-redon_portrait-of-madame-redon-with-ari,3
theodore-rousseau_view-of-the-plain-of-montmartre-x-effect-of-storm-1848,3
willem-de-kooning_the-glazier,8
viktor-vasnetsov_guslars-1899,7
jan-matejko_the-young-man,2
claude-monet_grainstack-at-giverny,3
giovanni-battista-piranesi_bacchante-dancing,4
franz-richard-unterberger_genoa,7
paul-gauguin_orana-maria-hail-maria-1894,0
william-blake_illustration-to-milton-s-paradise-lost-1807-2,2
sever-burada_tatar-houses-in-balchik,5
paul-cezanne_mont-sainte-victoire-1887-2,9
vincent-van-gogh_view-of-paris-from-near-montmartre-1886,6
adriaen-van-ostade_inn-scene,1
heorhiy-narbut_cover-of-album-ukrainian-alphabet-1917,0
henri-martin_church-by-the-river-1921,5
marsden-hartley_eight-bells-folly-memorial-to-hart-crane-1933,8
vincent-van-gogh_blossoming-almond-branch-in-a-glass-with-a-book-1888,5
orest-kiprensky_neapolitan-boys-fishermen-1829,1
diego-velazquez_portrait-of-the-infanta-maria-marguerita-1654,1
giovanni-battista-piranesi_the-roman-antiquities-t-3-plate-vi-view-the-remains-above-ground-of-the-ancient-ustrine-and,4
ferdinand-hodler_the-reaper,6
ossip-zadkine_couple,2
giovanni-battista-piranesi_chariot-of-venus,4
fyodor-vasilyev_clouds-the-village-of-krestinskoye,3
janos-tornyai_winter-landscape-with-violet-lights,6
vincent-van-gogh_sheaves-of-wheat-1890-1,9
maurice-utrillo_landscape,6
konstantin-somov_girl-under-the-sun,3
jacek-yerka_the-silence,4
thomas-eakins_the-brinton-house-1878,4
william-adolphe-bouguereau_the-younger-brother-1900,6
rembrandt_the-apostle-bartholomew-1661,7
giovanni-battista-piranesi_a-view-of-the-surpluses-above-the-baths-of-diocletian,4
margareta-sterian_park-descending-towards-harlem-new-york-1932,2
nicholas-roerich_she-who-holds-the-world-1933,9
odilon-redon_young-girl-facing-left,9
anthony-van-dyck_portrait-of-clelia-cattaneo-daughter-of-marchesa-elena-grimaldi-1623,1
jules-cheret_cacao-lhara-1890,0
robert-julian-onderdonk_field-of-bluebonnets-under-cloudy-sky,3
edouard-cortes_rue-de-lyon,5
jean-francois-millet_death-and-the-woodcutter,1
anthony-van-dyck_portrait-of-a-young-general-1627,1
giovanni-battista-piranesi_the-roman-antiquities-t-3-plate-xxxviii-plan-of-the-rooms-adjoining-the-burial-chambers-above,4
peter-paul-rubens_madonna-della-vallicella,1
salvador-dali_study-of-nude,9
william-adolphe-bouguereau_the-italian-tambourine,4
rene-magritte_georgette-magritte-1934,8
giovanni-battista-piranesi_general-sections-of-the-three-previous-houses,4
alexey-bogolyubov_venice,4
constantin-piliuta_pears-and-grapes,8
jules-perahim_composition-surr-aliste-v-1985,0
martiros-saryan_seller-of-greens-1912,2
nicholas-roerich_toghrak-dong,9
william-shayer_the-road-side-inn-somerset,1
bartolome-esteban-murillo_the-infant-jesus-between-the-virgin-and-st-joseph-1,4
m-c-escher_grasshopper,9
william-turner_rome-from-monte-testaccio,3
giovanni-battista-piranesi_cover-page-above-the-eagle-of-the-holy-apostles-roman-portico-at-the-bottom-of-the-vases-in-the,4
ernst-ludwig-kirchner_artist-begging-for-applause,0
giovanni-battista-piranesi_meleager,4
agostino-carracci_dog,2
nicolae-tonitza_little-girl-1928,2
salvador-dali_melancholy-atomic,8
giovanni-battista-piranesi_zabaglia-caricature-of-nicholas-the-reverend-fabric-of-st-engineer-peter,7
nicholas-roerich_wanderer-from-the-resplendent-city-1933,9
nicholas-roerich_father-frost-1912,8
anita-malfatti_fernanda-de-castro-1922,2
jacek-malczewski_portrait-of-j-zef-pi-sudski-1916,5
max-ernst_the-beautiful-season-1925,8
ilya-repin_portrait-of-a-woman-1874,7
nicholas-roerich_study-to-book-of-wisdom,9
pablo-picasso_portrait-of-jaime-sabartes-the-bock-1901,2
aleksey-antropov_portrait-of-tsar-peter-iii-1728-62-1762,6
giovanni-battista-piranesi_the-roman-antiquities-t-1-plate-xxi-arch-of-janus-1756,4
nicholas-roerich_bekas-1893,6
francisco-de-zurbaran_adoration-of-the-shepherds,1
max-pechstein_die-schwalben-sammeln-sich-ckeritz-i-pommern-1949,0
rene-magritte_the-muscles-of-the-sky-1927,0
raphael-kirchner_geisha-4,0
konstantin-makovsky_italian,7
edouard-vuillard_sacha-guitry-in-his-dressing-room-1912,3
diego-velazquez_cardinal-camillo-massimi-1650,7
gustave-courbet_la-ferme-de-bonnevaux,6
george-frederick-watts_ellen-terry-asleep,1
billy-childish_tea-drinker-high-atlas-2008,2
john-william-godward_a-classical-beauty-in-profile,4
giovanni-battista-piranesi_bacchus-in-the-act-of-drinking,4
albert-anker_grossvater-mit-zeitung-1906,0
konstantin-bogaevsky_crimean-campagna-1938,7
boris-kustodiev_portrait-of-ilya-repin-1902,6
eugene-boudin_port-at-low-tide,5
victor-hugo_planet-1866,9
konstantin-somov_oranienbaum,6
frans-snyders_the-wild-boar-hunt,1
ilya-repin_nude-model-from-behind-1896,4
martiros-saryan_illustration-to-a-poem-by-firdausi-shahnameh-1934,6
armand-guillaumin_vue-de-port-1880,3
ivan-shishkin_swiss-landscape-1866,6
mikalojus-ciurlionis_vision-1905,8
yannoulis-chalepas_beauty-cast-from-the-family-tomb-of-wisdom-afentaki-in-the-first-cemetery-of-athens-1878,9
alexey-venetsianov_checkered-shawl,5
ivan-aivazovsky_the-bay-of-naples-1845,9
nicholas-roerich_tibetian-camp-1936,9
raphael-kirchner_greek-girls-2,0
helene-schjerfbeck_annuli-reading-1923,9
salvador-dali_portrait-of-a-woman-grey-jacket-wearing-a-pearl-necklace,8
ernst-ludwig-kirchner_sleeping-nilly,8
ivan-aivazovsky_sea-view-1899,7
rembrandt_saskia-with-a-red-flower-1641,1
peter-paul-rubens_assumption-of-the-virgin,1
vincent-van-gogh_landscape-with-olive-tree-and-mountains-in-the-background-1888,8
giovanni-battista-piranesi_view-of-the-tavern-of-pompeii-dedicated-to-priapus,4
giovanni-battista-piranesi_the-blessed-virgin-and-st-child-appear-three-religious-kneeling,4
jacques-louis-david_self-portrait,1
sorin-dumitrescu_unknown-title-7,2
jacob-van-strij_odysseus-discovers-achilles,1
aleksey-savrasov_a-spring-day-1873,6
rembrandt_balaam-s-ass-1626,1
paul-klee_evening-shows-1935,2
konstantin-somov_sketch-of-book-cover,9
pablo-picasso_untitled-1939-4,8
thomas-eakins_portrait-of-frank-hamilton-cushing-1895,1
giovanni-battista-piranesi_the-roman-antiquities-t-2-plate-xxxiv-grand-marble-urn-believed-to-alexander-severus-and-his-1756,4
mstislav-dobuzhinsky_the-district-court-1923,7
francisco-de-zurbaran_the-house-of-nazareth-1640,1
remedios-varo_vegeta-vampires,8
zinaida-serebriakova_still-life-with-a-jug-1952,2
gustave-loiseau_wooded-landscape,3
rembrandt_self-portrait-10,7
pietro-da-cortona_madonna-and-saints-1628,1
paul-cezanne_tulips-in-a-vase-1892,2
edward-burne-jones_sybil,2
nicholas-roerich_issa-and-giant-s-head-1932,9
zdislav-beksinski_untitled-442,6
burhan-dogancay_a-farm-house-in-france-1952,2
yves-tanguy_death-awaiting-his-family-1927,3
odilon-redon_profile-of-a-young-girl,9
pierre-narcisse-guerin_idler,4
theodore-gericault_a-man-1819,1
tamara-de-lempicka_surrealist-hand-1947,2
mordecai-ardon_composition-with-the-sun,0
nikolai-ge_self-portrait,1
vincent-van-gogh_orchard-in-blossom-bordered-by-cypresses-1888,5
pyotr-konchalovsky_portrait-of-zinaida-konchalovskaya-1911,5
lev-lagorio_landscape-with-lake-1859,6
eugene-delacroix_horse-attacked-by-lioness-1842,4
mikhail-shibanov_catherine-the-great,1
paul-cezanne_chateau-de-madan,3
ivan-shishkin_cut-down-birch-1864,2
vasily-polenov_the-river-oyat-1880,3
ligia-macovei_unknown-title-26,5
sir-lawrence-alma-tadema_thou-rose-of-all-the-roses,4
pablo-picasso_sleeper-near-the-shutters-1936,2
vincent-van-gogh_the-starry-night-1888,8
franz-stuck_sounds-of-spring-1910,6
rene-magritte_jean-marie-1948,0
theo-van-rysselberghe_portrait-of-maria-van-rysselberghe-1926,2
john-singer-sargent_alice-vanderbilt-shepard-1888,4
salvador-dali_woman-nursing-her-son,2
vincent-van-gogh_landscape-with-couple-walking-and-crescent-moon-1890,5
harry-clarke_tales-of-mystery-and-imagination-by-edgar-allan-poe-1923-10,8
sir-lawrence-alma-tadema_flag-of-truce-1900,7
christoffer-wilhelm-eckersberg_portrait-of-faktor-fjellerups-kone,2
frans-hals_portrait-of-a-man-1654,1
paul-gauguin_portrait-of-claude-antoine-charles-favre-1877,1
aubrey-beardsley_on-alert,0
eugene-delacroix_christ-on-the-sea-of-galilee-1854,3
carlo-carra_il-figlio-del-costruttore-1921,4
george-stubbs_diagram-from-the-anatomy-of-the-horse,9
pablo-picasso_big-heads-1969,2
henri-de-toulouse-lautrec_tristan-bernard-at-the-buffalo-station-1895,2
raphael-kirchner_happy-easter-1901,0
mstislav-dobuzhinsky_winter-in-the-city-1904,8
camille-pissarro_view-of-pontoise-1873,3
guido-reni_charity,4
frans-hals_portrait-of-a-man-1650,1
henri-matisse_still-life-with-a-pewter-jug-and-pink-statuette-1910,5
david-burliuk_dacha-near-saint-petersburg,9
georges-braque_nude-woman-with-basket-of-fruit-canephorus-1926,2
moise-kisling_sitting-nude-1923-1,4
kuzma-petrov-vodkin_female-model-1910,2
max-ernst_dark-forest-and-bird,2
kuzma-petrov-vodkin_negro-village-1907,8
karl-bodmer_chief-of-the-blood-indians-war-chief-of-the-piekann-indians-and-a-koutani-indian-plate-46-from-1844,7
zinaida-serebriakova_young-girl,2
claude-monet_zaan-at-zaandam-1,7
arshile-gorky_garden-in-sochi,8
giovanni-battista-piranesi_view-of-one-of-monuments-in-ancient-circus,4
max-ernst_illustration-to-a-week-of-kindness-1934-140,8
esaias-van-de-velde_winter-landscape-with-farmhouse-1624,1
martiros-saryan_portrait-of-i-shchukin-1911,2
maurice-utrillo_rue-lepic,3
paul-delvaux_dryads-1966,0
edouard-cortes_flower-market-at-la-madeleine-2,3
odilon-redon_spring-1883,7
vilmos-aba-novak_daylabourers-with-wheelbarrows-1927,5
giovanni-battista-piranesi_view-from-the-rear-of-this-curule-chair,4
william-leighton-leitch_church-of-santa-maria-del-carmine-naples-1840,1
eileen-agar_surrealist-hat-1956,0
ivan-bilibin_sketches-of-scenery-for-aleksey-verstovsky-s-askold-s-grave-mikhail-glinka-s-ruslan-and-1912,3
billy-childish_erupting-volcano-2011,9
andre-derain_golden-age,2
jean-metzinger_embarkation-of-harlequin-arlequin-1923,8
vincent-van-gogh_studies-figure-the-enclosure-wall-of-saint-paul-hospital-and-others-1889,8
antoine-blanchard_porte-st-denis-5,5
joseph-wright_d-ewes-coke-his-wife-hannah-and-daniel-parker-coke,1
isaac-levitan_at-the-seashore,5
theodore-chasseriau_la-d-fense-des-gaules-1855,1
john-constable_portrait-of-maria-bicknell-1816,7
rene-magritte_the-happy-donor-1966,2
canaletto_the-molo-and-the-piazzetta-san-marco-venice,1
john-constable_the-mill-stream-1815,6
camille-corot_twisted-trees-on-a-ridge-sunset,6
jozsef-rippl-ronai_lajos-und-odon-1918,2
francisco-goya_hush-1799,4
alexandre-benois_magician-costume-design,0
orest-kiprensky_self-portrait-1820,1
marc-chagall_red-roofs-1954,2
jacob-jordaens_the-bean-king-the-king-drinks-1638,1
gustave-loiseau_spring-landscape-1907,3
guido-reni_st-john-the-baptist-in-the-wilderness-1625,1
gabriel-metsu_the-dismissal-of-hagar,1
konstantin-somov_lady-by-the-pool,3
jean-paul-lemieux_la-r-cr-ation-1961,2
salvador-dali_untitled-female-figure-with-catalonian-bread,8
egon-schiele_reclining-boy-leaning-on-his-elbow-1917,2
jacek-yerka_cowan-city,6
juan-de-valdes-leal_assumption-of-the-virgin-1659,7
yov-kondzelevych_icon-spas-nerukotvornyi-savior-not-made-by-hands-from-the-maniava-hermitage-iconostasis-1705,2
vincent-van-gogh_cypresses-1889-3,1
frederick-sommer_giant-1947,8
sidney-nolan_ned-kelly-1946,8
guy-rose_twin-lakes-high-sierra,3
angelica-kauffman_christ-and-the-samaritan-woman-at-the-well-1796,4
sebastien-bourdon_death-of-dido-1640,1
claude-monet_rouen-cathedral-at-noon,2
salvador-dali_javanese-mannequin,8
giovanni-battista-piranesi_ction-of-the-pedestal-of-trajan-column-the-main-port-and-first-order-of-steps,4
zinaida-serebriakova_snowflakes-1923,9
jan-steen_dancing-couple-detail-1663-11,1
edouard-vuillard_portrait-of-a-woman-in-profile,3
jean-auguste-dominique-ingres_the-golden-age,1
vincent-van-gogh_cypresses-and-two-women-1890,5
anna-ostroumova-lebedeva_leningrad-fontanka-and-the-summer-garden-in-frost-1929,9
gustave-moreau_a-esfinge-vencedora,9
gustave-moreau_satyrs-1892,3
maurice-utrillo_sacre-coeur-2,0
felix-vallotton_portrait-of-french-writer-paul-claudel-1898,0
amedeo-modigliani_jeanne-hebuterne-1919,2
viktor-vasnetsov_russian-bishops-1896,0
giovanni-battista-piranesi_three-clocks-two-chairs-a-chandelier,4
bartolome-esteban-murillo_sleeping-man,4
henri-matisse_entrance-to-the-kasbah-1912,2
paul-cezanne_achille-emperaire,2
ilya-repin_warrior-xvii-century-1879,9
pieter-de-hooch_dutch-family,1
francisc-sirato_autoportret,2
viktor-vasnetsov_oleg-at-his-horse-s-remains-1899,9
nicholas-roerich_two-girls-1930,0
frans-hals_portrait-of-a-woman-5,1
koloman-moser_picture-book-for-the-niece-of-ditha-mautner-von-markhof-1904-5,0
mihaly-munkacsy_evening-in-parc-monceau-1895,7
nicolae-tonitza_catrina-1,3
giovanni-battista-piranesi_ancient-mausoleum-erected-to-the-ashes-of-a-roman-emperor,4
wilhelm-kotarbinski_leela-wend,9
andre-masson_the-fruits-of-the-abyss,4
antonio-canova_self-portrait-1792,1
john-henry-twachtman_winter-landscape-cincinnati,6
joan-miro_women-and-birds-at-sunrise,8
alexandre-benois_oranienbaum-the-monkey-cabinet-in-roller-coaster-hall,3
vincent-van-gogh_head-of-a-boy-with-broad-brimmed-hat-1890,5
giovanni-battista-piranesi_vedute-di-roma-35,4
max-kurzweil_the-farrier,7
marc-chagall_artist-over-vitebsk,2
valentin-serov_quartet,6
ivan-bilibin_illustration-for-alexander-pushkin-s-fairytale-of-the-tsar-saltan-1905-6,0
zdislav-beksinski_untitled-292,4
christen-kobke_rough-sea-on-a-rocky-coast-1839,7
bartolome-esteban-murillo_vision-to-st-francis-1646,1
fyodor-alekseyev_view-of-the-sovereign-s-palace-and-the-church-of-the-annunciation-in-the-rye-yard,3
pierre-auguste-renoir_woman-in-a-landscape,3
adriaen-van-de-velde_a-classical-landscape-1671,1
alphonse-mucha_champagne-printer-publisher-1897,0
serge-sudeikin_dairy-hour,6
nicholas-roerich_madonna-laboris-1933,9
